Summary of the graviton properties 
n     mass     Decay width     Cross section [fb]    BR to photons 
0 0 0 0 0 
1 753.26402469042 0.0002835844428373695 2.9891648586835404 0.04282470470119903 
2 762.9723216285364 0.001149288240502098 11.229119995951601 0.0428123792980565 
3 778.8839567196688 0.002641002694588544 22.830437353842473 0.04279331951142866 
4 800.629161525456 0.0048288996397485295 35.433202846914924 0.04276936088267718 
5 827.748314598249 0.007805635752279182 46.93211321439866 0.04274246703574171 
6 859.7330237586248 0.011682108188270635 55.924771309900876 0.04271441262431575 
7 896.0624162119924 0.016583351976560124 61.91934329863588 0.04268660115001549 
8 936.2308567547957 0.022644955969786447 64.72890033982672 0.042660014321448544 
9 979.766279434837 0.030010154894359684 64.80389090087115 0.042635250890569264 
10 1026.2402687874642 0.03882759544709649 62.95860223983045 0.042612607400034606 
11 1075.2718716817483 0.04924968781670036 59.710080031151094 0.04259216598751536 
12 1126.5271805707096 0.061431424201968815 55.59035316357777 0.04257387058657819 
13 1179.716390021277 0.07552954949946171 51.02480899721795 0.04255758510232255 
14 1234.5895734982923 0.09170198764943928 46.32817024690319 0.04254313402347641 
15 1290.9320086209714 0.11010744883968655 41.71821428511952 0.04253032876685454 
16 1348.5595532119726 0.13090516244683176 37.33014083558702 0.042518983574535825 
17 1407.3143458453035 0.15425469639972444 33.24380324535269 0.04250892428563877 
18 1467.0609562217694 0.1803391271564158 29.500766146171518 0.04249450344039591 
19 1527.6830208862998 0.21043848515937527 26.11263873968239 0.042251763442557023 
20 1589.0803494864153 0.24488411065606752 23.070355935078734 0.04184800843643706 
21 1651.1664615444029 0.28332807639679236 20.35568271930653 0.04143519507835714 
22 1713.866503587686 0.32530291746373646 17.945210357658645 0.04111155909366476 
23 1777.115494923252 0.37073363076992594 15.811287877578136 0.04088263635820046 
24 1840.8568532773998 0.4206146915537696 13.928592120180115 0.040643174036741496 
25 1905.0411565123843 0.47388056622934255 12.269426480037808 0.04050839480228306 
26 1969.6251022819893 0.530882780086468 10.808779841179238 0.04043534758488358 
27 2034.5706330472406 0.5918167525448804 9.52402428010901 0.040405696571825245 
28 2099.844198973529 0.6568739898768504 8.394669957588187 0.040406443168513335 
29 2165.4161357237854 0.7263219937494944 7.4018949069161675 0.04042385449485049 
30 2231.260138022616 0.8002232924747484 6.528932911039093 0.04045862141261804 
31 2297.3528131286434 0.8791078692105935 5.761233770835191 0.04048913227034275 
32 2363.67330107972 0.962911462478876 5.085977670830487 0.040525707219218984 
33 2430.2029508396477 1.0517115870540417 4.491793434126025 0.040569842127965335 
34 2496.9250433459106 1.1456857965080602 3.9687203026212075 0.04061882564218328 
35 2563.8245539997165 1.244981931315527 3.5079646657890637 0.040671566086357774 
36 2630.8879484085464 1.3498703543812522 3.1018463888666963 0.040723476534284764 
37 2698.103006235388 1.4605617509401714 2.74376314666091 0.04077290014459683 
38 2765.4586688679983 1.5774236087836144 2.4279130461609166 0.04081460348389321 
